entidad,nom_ent,mun,nom_mun,loc,nom_loc,ageb,mza,pobtot,pobmas,pobfem,pnacent,pnacent_m,pnacent_f,pnacoe,pnacoe_m,pnacoe_f,pocupada,pocupada_m,pocupada_f,pdesocup,pdesocup_m,pdesocup_f,pcatolica,pncatolica,potras_rel,psin_relig,vivtot,vph_c_elec,vph_s_elec,vph_drenaj,vph_nodren,vph_radio,vph_tv,vph_refri,vph_lavad,vph_autom,vph_pc,vph_telef,vph_cel,vph_inter
1,Aguascalientes,0,Total de la entidad Aguascalientes,0,Total de la entidad,0,0,1184996,576638,608358,936435,459070,477365,233073,109757,123316,443826,282532,161294,31381,24849,6532,1101785,51766,835,21235,361676,287266,1923,283977,4795,256790,282484,264623,238954,171795,99579,137911,208209,66075
1,Aguascalientes,1,Aguascalientes,0,Total del municipio,0,0,797010,386429,410581,600255,293925,306330,186972,87621,99351,315954,193840,122114,21020,15770,5250,731800,40707,709,17073,247792,200175,668,198667,1922,182408,197400,188214,170657,124404,81576,109090,157602,56788
1,Aguascalientes,1,Aguascalientes,1,Total de la localidad urbana,0,0,722250,348722,373528,538419,262607,275812,175010,81721,93289,289716,175144,114572,19173,14204,4969,661240,38255,682,16077,225328,183634,291,183355,374,167880,181062,173467,157607,114283,78107,104297,146684,55003
1,Aguascalientes,1,Aguascalientes,1,Total AGEB urbana,229,0,410,211,199,273,140,133,121,61,60,167,119,48,7,5,0,360,27,0,23,123,103,0,104,0,93,101,94,85,77,60,63,88,49
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,1,65,34,31,36,18,18,22,11,11,29,15,14,0,0,0,54,5,0,6,24,17,0,17,0,16,17,17,17,15,16,14,17,14
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,6,25,14,11,20,10,10,5,4,0,14,9,5,0,0,0,17,8,0,0,8,7,0,8,0,8,8,6,4,5,0,0,6,0
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,229,7,99,55,44,95,53,42,4,0,0,42,31,11,3,3,0,95,0,0,4,18,18,0,18,0,13,18,16,12,8,4,6,10,0
